WDS,plx_origin,plx,plx_err,kepler_min,kepler,kepler_max,gmass_min,gmass,gmass_max,gmass1_min,gmass1,gmass1_max,gmass2_min,gmass2,gmass2_max,plx_origin0,plx0,plx_err0,kepler0,rho,PA
08554+7048,DR3,86.331,0.026,0.891,1.217,1.668,1.141,1.225,1.317,0.581,0.625,0.67,0.56,0.6,0.647,DR3,86.331,0.026,1.215,3.14,356
08571+1139,dr2,58.421,0.908,0.773,0.836,0.903,0.823,0.906,0.982,0.493,0.526,0.557,0.329,0.38,0.425,dr2,58.421,0.908,0.836,0.6,243
08589+0829,oth,147.66,1.98,0.587,0.632,0.68,0.522,0.598,0.674,0.278,0.316,0.356,0.244,0.282,0.319,x,147.66,1.98,0.632,0.45,82
09104+6708,DR3,48.644,0.024,1.453,1.939,2.59,1.932,2.078,2.245,1.242,1.347,1.467,0.69,0.731,0.778,DR3,48.644,0.024,1.936,4.47,348
09144+5241,DR3,157.885,0.014,0.872,1.102,1.436,1.11,1.189,1.281,0.559,0.598,0.645,0.552,0.591,0.636,DR3,157.885,0.014,1.102,17.08,98
09210+3811,H97,20.91,1.49,2.132,2.842,3.812,2.35,2.569,2.807,1.211,1.322,1.446,1.139,1.247,1.361,H97,20.91,1.49,2.836,1.13,310
09239+2754,H97,6.49,1.78,1.294,2.817,7.585,2.481,2.867,3.445,1.381,1.601,1.951,1.1,1.266,1.494,H07,6.4,1.01,2.902,1.25,205
09307-4028,dr2,54.411,0.265,2.751,2.837,2.925,2.538,2.768,3.021,1.421,1.554,1.703,1.117,1.214,1.318,dr2,54.411,0.265,2.837,0.81,115
09313-1329,H97,94.95,4.31,0.819,0.936,1.077,0.804,0.895,0.98,0.391,0.437,0.481,0.413,0.458,0.499,H97,94.95,4.31,0.937,0.5,266
09376+1528,H97,7.26,1.64,0.341,3.076,20.956,2.176,2.458,2.839,1.165,1.325,1.533,1.011,1.133,1.305,H97,7.26,1.64,2.726,0.43,192
09457-3902,DR3,50.593,0.315,0.28,0.837,2.738,0.67,0.756,0.852,0.357,0.406,0.45,0.313,0.35,0.401,DR3,50.593,0.315,0.821,0.5,50
09488-5237,DR3,38.131,0.019,0.491,1.471,4.813,1.318,1.398,1.483,0.82,0.868,0.922,0.497,0.53,0.561,DR3,38.131,0.019,1.449,1.15,330
09524+2659,H07,17.38,1.77,0.633,1.986,6.839,1.737,1.85,1.975,0.89,0.949,1.014,0.846,0.901,0.961,H07,17.38,1.77,1.921,2.48,290
09551-2632,dr2,24.629,0.79,0.258,2.124,11.752,1.555,1.654,1.764,0.818,0.867,0.921,0.737,0.787,0.842,dr2,24.629,0.79,1.961,0.86,122
09591+5316,DR3,9.519,0.238,1.698,2.294,3.067,2.139,2.303,2.502,1.158,1.265,1.371,0.981,1.038,1.131,DR3,9.519,0.238,2.291,0.5,165
10043-2823,H07,12.24,1.0,1.826,2.486,3.42,2.36,2.588,2.832,1.211,1.324,1.451,1.149,1.263,1.38,H07,12.24,1.0,2.478,0.77,302
10110+7508,DR3,47.501,0.013,0.788,1.171,1.709,1.109,1.188,1.28,0.556,0.595,0.641,0.554,0.593,0.639,DR3,47.501,0.013,1.168,1.95,122
10140+2227,3rd,16.576,0.021,0.17,1.394,7.736,1.429,1.516,1.619,0.709,0.751,0.802,0.721,0.765,0.817,H97,15.47,3.59,1.582,0.52,327
10192+2034,DR3,20.235,0.21,1.529,1.869,2.271,1.571,1.667,1.772,0.839,0.887,0.939,0.732,0.779,0.833,DR3,20.235,0.21,1.868,0.71,313
10217-0946,H07,16.68,1.18,0.665,2.033,6.811,1.895,2.018,2.178,0.99,1.056,1.155,0.906,0.962,1.023,H07,16.68,1.18,1.981,1.54,130
10227+1521,DR3,34.519,0.017,1.253,1.527,1.853,1.54,1.637,1.733,0.914,0.967,1.023,0.626,0.671,0.71,DR3,34.519,0.017,1.527,2.29,231
10250+2437,DR3,14.121,0.1,0.681,2.04,6.685,1.873,1.984,2.108,0.939,0.994,1.057,0.935,0.99,1.051,DR3,14.121,0.1,2.005,0.82,155
10361-2641,H97,22.72,1.11,1.886,2.187,2.553,2.173,2.339,2.549,1.193,1.301,1.415,0.979,1.038,1.133,H97,22.72,1.11,2.187,1.33,305
10387+0544,H97,14.36,1.64,1.756,2.428,3.494,2.233,2.465,2.723,1.172,1.296,1.429,1.061,1.169,1.294,H97,14.36,1.64,2.427,1.83,334
10480+4107,DR3,8.473,0.216,3.087,3.817,4.697,2.936,3.217,3.538,1.509,1.656,1.824,1.427,1.562,1.714,DR3,8.473,0.216,3.814,0.65,253
10557+0044,dr2,21.967,0.216,1.537,2.062,2.7,2.238,2.411,2.608,1.385,1.51,1.655,0.853,0.901,0.953,dr2,21.967,0.216,2.063,1.12,51
10585+1711,DR3,10.139,0.09,1.744,2.126,2.59,1.815,1.92,2.034,0.904,0.956,1.013,0.911,0.964,1.021,DR3,10.139,0.09,2.124,0.53,170
11017+3641,dr2,15.444,0.389,0.212,1.724,9.546,1.25,1.341,1.421,0.641,0.684,0.724,0.61,0.657,0.697,dr2,15.444,0.389,1.593,0.66,47
11050+3825,H07,7.35,1.05,0.504,2.563,12.659,2.582,2.88,3.232,1.408,1.572,1.775,1.175,1.307,1.456,H07,7.35,1.05,2.455,1.08,237
11101-3822,DR3,18.439,0.067,0.556,1.666,5.462,1.562,1.655,1.757,0.868,0.921,0.974,0.694,0.735,0.783,DR3,18.439,0.067,1.638,0.77,7
11105-3732,DR3,26.974,0.033,0.137,1.116,6.166,1.022,1.085,1.156,0.527,0.558,0.598,0.495,0.527,0.558,DR3,26.974,0.033,1.032,1.55,207
11136+5525,H07,10.89,1.15,1.982,2.846,4.184,2.407,2.648,2.922,1.267,1.39,1.539,1.14,1.259,1.383,H07,10.89,1.15,2.837,0.56,209
11137+2008,H07,18.35,0.96,0.757,2.285,7.565,2.159,2.349,2.571,1.078,1.173,1.284,1.08,1.175,1.286,H07,18.35,0.96,2.241,0.7,317
